activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for barley grain;barley grain;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;572be380fbe7ed12f0fc130f8e00fafc;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1152;Barley, other;OreMinFuel;Ores, minerals & fuels
;terbium-dysprosium oxide to generic market for mischmetal;mischmetal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0806b5b4862ec94a6b7a39b497989c91;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for arsine;arsine;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;737f74d05941be64671fa94914f0c9ff;GLO;kilogram;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
;market for almond;almond;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0fc83ec01c41c2b0e480a579dad29277;GLO;kilogram;125;Growing of other tree and bush fruits and nuts;1371;Almonds, in shell;OreMinFuel;Ores, minerals & fuels
;market for used diesel-electric generating set, 18.5kW;used diesel-electric generating set, 18.5kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;78642d0156eb7b7c8aed3cec67285ef9;GLO;unit;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for rape seed;rape seed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;877f7125888d19c6f178027bc373e4d8;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1443;Rape or colza seed;OreMinFuel;Ores, minerals & fuels
;market for sunflower silage;sunflower silage;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b3f293a2369ba1887e88d28c2acc3137;GLO;kilogram;161;Support activities for crop production;1919;Forage products, n.e.c.;;
;market for internal combustion engine, passenger car;internal combustion engine, passenger car;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;590bd21d709544178a116528f0180e33;GLO;kilogram;2910;Manufacture of motor vehicles;4312;Internal combustion engines of a kind used for motor vehicles;MachElecTrans;Metal/electronic equipments and parts
;market for dust collector, multicyclone;dust collector, multicyclone;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ac129ca151dd52eb2ddb7cd3b5cfee30;GLO;unit;2819;Manufacture of other general-purpose machinery;4393;General-purpose machinery n.e.c.;MachElecTrans;Metal/electronic equipments and parts
;market for waste foundry sand;waste foundry sand;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fc1a87adf7649b32e94e08500130b6c8;GLO;kilogram;2394;Manufacture of cement, lime and plaster;39290;Other non-metal waste or scrap;AgriForeAnim;Agricultural and forestry products
;market for photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof;photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b963c149209b6e93e781ca5db03cf773;GLO;unit;3320;Installation of industrial machinery and equipment;87360;Installation services of electrical machinery and apparatus n.e.c.;;
;market for basic oxygen furnace waste;basic oxygen furnace waste;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;07819b2a2c1cbaf7c11e15baebd92f49;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for iron(III) chloride, without water, in a 12% iron solution state;iron(III) chloride, without water, in a 12% iron solution state;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3d183a4bd12bfa5db466fa7eda38540c;GLO;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for petrol, 5% ethanol by volume from biomass;petrol, 5% ethanol by volume from biomass;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5cd8a353ecd01a0ab388a9cb195d8032;GLO;kilogram;1920;Manufacture of refined petroleum products;333;"Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]";OreMinFuel;Ores, minerals & fuels
;market for diesel, low-sulfur, 20-year period;diesel, low-sulfur;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;40282446bc3446998385ca4a0677f1f9;World;kilogram;1920;Manufacture of refined petroleum products;33360;Gas oil;OreMinFuel;Ores, minerals & fuels
;market for maintenance, electric bicycle;maintenance, electric bicycle;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f0fb0da4026efabadd1f63832dad1075;GLO;unit;4540;Sale, maintenance and repair of motorcycles and related parts and accessori;87141;Maintenance and repair services of motor vehicles;;
;market for extrusion, co-extrusion;extrusion, co-extrusion;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9fdf83871f87d58da0b72d47727b5cbf;GLO;kilogram;2220;Manufacture of plastics products;89200;Moulding, pressing, stamping, extruding and similar plastic manufacturing services;;
;market for polystyrene, expandable;polystyrene, expandable;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;20dfcb3fcac7e2fe995c18193c35ff9f;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34720;Polymers of styrene, in primary forms;PlastRub;Plastics & rubber products
;market for 2-butanol;2-butanol;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;cf67afad8b0a055ef36b0f0e2a41eb09;RoW;kilogram;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
;market for used smartphone;used smartphone;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;571b7d4fafd8b3939287b164067b4333;GLO;kilogram;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for prochloraz;prochloraz;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a7349cf63913eb32029552c1c9a9a20e;GLO;kilogram;2011;Manufacture of basic chemicals;34662;Fungicides;Chemical;Chemical products
;market for diesel;diesel;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b613a0e604fce45d4146006a310d2872;RoW;kilogram;1920;Manufacture of refined petroleum products;33360;Gas oil;OreMinFuel;Ores, minerals & fuels
;market for deep drawing, steel, 3500 kN press, automode;deep drawing, steel, 3500 kN press, automode;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b7072a552cbbac7d515a80f544f0fd5f;GLO;kilogram;2591;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";89330;Metal forging, pressing, stamping, roll forming and powder metallurgy services;;
;market for sorting facility, for construction waste;sorting facility, for construction waste;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0ec1c31d76fa40d70eb144e84e20f9d3;GLO;unit;4290;Construction of other civil engineering projects;53290;Other civil engineering works;;
;market for harvester;harvester;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5b671f1f77fa1bfbc7e9421a8b0a8f3a;GLO;kilogram;2821;Manufacture of agricultural and forestry machinery;441;Agricultural or forestry machinery and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for stone wool, packed;stone wool, packed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;83a1fef8d65979022f9ebc479f91a83e;GLO;kilogram;2399;Manufacture of other non-metallic mineral products n.e.c.;37990;Non-metallic mineral products n.e.c. (including mineral wool, expanded mineral materials, worked mica, article[…];GlasNonMetal;Glass and other non-metallic products
;market for cement, type I-PM;cement, type I-PM;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;757065aa1b7244a69e7141db0a3d6a56;World;kilogram;2394;Manufacture of cement, lime and plaster;37440;Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;GlasNonMetal;Glass and other non-metallic products
;market for coal stove, 5-15kW;coal stove, 5-15kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;308ffe421db10186f9f172db525e99c5;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43410;"Furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanical stokers, mechanical grates, […]";MachElecTrans;Metal/electronic equipments and parts
;market for lithium brine, 6.7 % Li;lithium brine, 6.7 % Li;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7d09be96b08495461b278bbf22fd5dfe;GLO;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for brass removed by turning, primarily dressing, computer numerical controlled;brass removed by turning, primarily dressing, computer numerical controlled;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d7f6e387d3d96ad84195e71113e5c9a6;GLO;kilogram;2592;"Treatment and coating of metals; machining";3936;Waste and scrap of other metals;AgriForeAnim;Agricultural and forestry products
;market for ethanol, without water, in 99.7% solution state, from ethylene;ethanol, without water, in 99.7% solution state, from ethylene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6ab0c8da4712821cea8df4936316f958;RoW;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for pitch despergents, in paper production;pitch despergents, in paper production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;aebc8c6782d3f8c3fc83d0a512ad38f0;RoW;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for furnace, logs, average storage area, 30kW;furnace, logs, average storage area, 30kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ffb4e9d0edd50cdac16f2b57d863b563;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;market for anhydrite rock;anhydrite rock;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;52c103094f78261cac6950c1be1b9c48;RoW;kilogram;810;Quarrying of stone, sand and clay;15200;"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]";OreMinFuel;Ores, minerals & fuels
;market for sodium hydrogen sulfate;sodium hydrogen sulfate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fdcd0934b7a2eac597e3eff81d3a3c13;GLO;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for textile, jute;textile, jute;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b4e86a1a12374dc15d5dc3c5da023a8e;GLO;kilogram;1312;Weaving of textiles;26570;Woven fabrics of jute and other textile bast fibres (except flax, true hemp and ramie);ProcBio;Textile
;market for waste electric and electronic equipment;waste electric and electronic equipment;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;de00bfe8f466ed4890a74e36e9e1025a;GLO;kilogram;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for landed tuna, frozen, EPO;landed tuna, frozen, EPO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;024bb71edfdf7b917269f73a0ddfa1e0;GLO;kilogram;311;Marine fishing;21215;Tunas, skipjack or stripe-bellied bonito, frozen;ProcBio;Food & beverages, animal feed
;market for fish canning, small fish;fish canning, small fish;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae64b2926d090b95aa8cc762c98e7c27;GLO;kilogram;1020;Processing and preserving of fish, crustaceans and molluscs;212;Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates;ProcBio;Food & beverages, animal feed
;market for electric arc furnace slag;electric arc furnace slag;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7d95e8db27d1846ca8f709e387a0be61;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for bauxite;bauxite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3e30c3faf44cedb720e45de628f4ece8;GLO;kilogram;729;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
;market for vegetable oil, refined;vegetable oil, refined;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;72c8c162633f57f8a8679424cf6b588a;GLO;kilogram;1040;Manufacture of vegetable and animal oils and fats;216;Vegetable oils;ProcBio;Food & beverages, animal feed
;market for carbon fibre reinforced plastic, injection moulded;carbon fibre reinforced plastic, injection moulded;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c52fd3aad9cb8921c70e21a0206414f6;GLO;kilogram;2220;Manufacture of plastics products;49640;Parts of aircraft and spacecraft;MachElecTrans;Transport vehicles
;market for sawdust, loose, wet, measured as dry mass;sawdust, loose, wet, measured as dry mass;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f9ed699cee253f0e7598f7ed87319e12;GLO;kilogram;1610;Sawmilling and planing of wood;3928;Sawdust and wood waste and scrap;AgriForeAnim;Agricultural and forestry products
;market for impact extrusion of steel, cold, 4 strokes;impact extrusion of steel, cold, 4 strokes;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e253282b7daa2fdb77fdf5d83963a420;GLO;kilogram;2591;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";89330;Metal forging, pressing, stamping, roll forming and powder metallurgy services;;
;market for flat glass, coated;flat glass, coated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3040de6dd4125bb9ee919cfbb750a6cd;RoW;kilogram;2310;Manufacture of glass and glass products;37114;Glass in sheets, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed, etc.;GlasNonMetal;Glass and other non-metallic products
;market for dimethenamide;dimethenamide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;598226fa34cbfbadfddff71d16244801;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;market for operation, dried roughage store, cold-air dried, conventional;operation, dried roughage store, cold-air dried, conventional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;34789a44a7e1bd69055a77a8aebb99de;GLO;kilogram;163;Post-harvest crop activities;86111;Post-harvest crop services;;
;market for lime;lime;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a17031f63bd3ea4270184c9e2c49572a;RoW;kilogram;810;Quarrying of stone, sand and clay;161;Chemical and fertilizer minerals;OreMinFuel;Ores, minerals & fuels
;market for leach residue from copper production;leach residue from copper production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;92ba45fd7e34013e0c4393f1672196e0;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;39361;Waste and scrap of copper;AgriForeAnim;Agricultural and forestry products
;market for dryer;dryer;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0bb1b155f3db9bb2bde3e25e4f8bb608;GLO;unit;2750;Manufacture of domestic appliances;4481;"Domestic electric appliances; non-electric refrigerators and clothes drying machines";MachElecTrans;Metal/electronic equipments and parts
;market for cement, CEM IV/B;cement, CEM IV/B;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;462fd7fb96da4f859f9cd4bd150e9437;World;kilogram;2394;Manufacture of cement, lime and plaster;37440;Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;GlasNonMetal;Glass and other non-metallic products
;market for municipal solid waste;municipal solid waste;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0150eac3e85d7be0248898e3b85ef3fa;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39910;Municipal waste;AgriForeAnim;Agricultural and forestry products
;market for phenol;phenol;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;581877bae2122a75fe8751e799992573;RoW;kilogram;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
;market for reefer, intermodal shipping container, 40-foot, high-cube, carbon dioxide, liquid as refrigerant;reefer, intermodal shipping container, 40-foot, high-cube, carbon dioxide, liquid as refrigerant;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;aae7a4b97dd38ffe89f17d4a1929cab8;GLO;unit;2920;"Manufacture of bodies (coachwork) for motor vehicles; manufacture of traile";49221;Containers specially designed and equipped for carriage by one or more modes of transport;MachElecTrans;Transport vehicles
;market for alfalfa-grass silage;alfalfa-grass silage;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;01d59f12e272b87bf58589cdb975fe97;GLO;kilogram;119;Growing of other non-perennial crops;1912;Alfalfa for forage and silage;;
;market for lithium fluoride;lithium fluoride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5eadd183cacecfde961dd85329b154a8;GLO;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for sawlog and veneer log, softwood, debarked, measured as solid wood;sawlog and veneer log, softwood, debarked, measured as solid wood;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b61440712c3adde79aef39372b0c8a3f;RoW;cubic meter;220;Logging;31;Wood in the rough;ProcBio;Wood, straw & cork
;market for brass removed by turning, primarily roughing, conventional;brass removed by turning, primarily roughing, conventional;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1bfdaa44ca73a2382a97c4f4d3f6f688;GLO;kilogram;2592;"Treatment and coating of metals; machining";3936;Waste and scrap of other metals;AgriForeAnim;Agricultural and forestry products
;market for ytterbium oxide;ytterbium oxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2ef0513b4dcd2fee2bd298f5e30fe0b6;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for paper mill, integrated;paper mill, integrated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bc09cf750c8c3144f20cb42280fd6e00;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for wood preservation, spray tunnel/deluging, organic solvent-based, outdoor use, no ground contact;wood preservation, spray tunnel/deluging, organic solvent-based, outdoor use, no ground contact;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;679ac11291b73285e73324bdb9500f92;GLO;kilogram;1610;Sawmilling and planing of wood;54730;Painting services;;
;market for zinc in car shredder residue;zinc in car shredder residue;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;483572fae73ee57a81454163c61805a0;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39365;Waste and scrap of zinc;AgriForeAnim;Agricultural and forestry products
;market for fava bean;fava bean;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2fe8a059a9f3b3a2bd6e668957e9d0ca;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1243;Broad beans and horse beans, green;OreMinFuel;Ores, minerals & fuels
;electric arc furnace secondary metallurgy slag, for recovery to generic market for supplementary cementitious materials;supplementary cementitious materials;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e891fd812caf651c8e8cabef33212069;RoW;kilogram;2394;Manufacture of cement, lime and plaster;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
;market for rare earth tailings, from bastnaesite and monazite ore;rare earth tailings, from bastnaesite and monazite ore;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;85ff58c6c570baf0897d4b7fe78387bb;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for wheat grain, feed;wheat grain, feed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e757c5128ae1861d47b6c567b3bc14b6;GLO;kilogram;1080;Manufacture of prepared animal feeds;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
;market for heat and power co-generation unit, 50kW electrical, common components for heat+electricity;heat and power co-generation unit, 50kW electrical, common components for heat+electricity;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;098d62da0cc835aa22548a7e64a89891;GLO;unit;4220;Construction of utility projects;53262;Power plants;;
;market for wastewater from pig iron production;wastewater from pig iron production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d4314e1997426a2b8ca26846c23e4641;RoW;cubic meter;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for compact fluorescent lamp;compact fluorescent lamp;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8d79fa540c2e49f0c73497a55a0df294;GLO;unit;2740;Manufacture of electric lighting equipment;4653;Lighting equipment;MachElecTrans;Metal/electronic equipments and parts
;market for palm date, conditioned and dried;palm date, conditioned and dried;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;df342d3687489ba30c1af5cde5fad2f0;GLO;kilogram;1030;Processing and preserving of fruit and vegetables;21419;Other dried fruit, n.e.c.;ProcBio;Food & beverages, animal feed
;basic oxygen furnace dust, for recovery to generic market for supplementary cementitious materials;supplementary cementitious materials;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4f311d7292116564487201f86113de83;RoW;kilogram;2394;Manufacture of cement, lime and plaster;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
;market for sulfuryl chloride;sulfuryl chloride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a7d5ae11aeac1ec3ce1f409805e56898;GLO;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for 1,1-difluoroethane, HFC-152a;1,1-difluoroethane, HFC-152a;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;36feee202b70ec0ca2d8e4208dd82e8c;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for DTPA, diethylenetriaminepentaacetic acid;DTPA, diethylenetriaminepentaacetic acid;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6119acbadeae6871b07052f5677aa77a;RoW;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for operation, dried roughage store, air dried, solar;operation, dried roughage store, air dried, solar;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;304c5b4169725c168fdebea74db30cc5;GLO;kilogram;163;Post-harvest crop activities;86111;Post-harvest crop services;;
;market for used reefer, intermodal shipping container, 40-foot, high-cube;used reefer, intermodal shipping container, 40-foot, high-cube;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;055ead93b0ab7ee2f19742ef4a99c9a9;GLO;unit;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for straw, stand-alone production;straw, stand-alone production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;acae5ef9dd80525e3773a99d1bed2157;RoW;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1913;Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets;;
;market for lubricating oil;lubricating oil;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d83acfba43458f2b1ace32123e313f79;RoW;kilogram;1920;Manufacture of refined petroleum products;33380;Lubricants;OreMinFuel;Ores, minerals & fuels
;market for liquid crystal display, unmounted, mobile device;liquid crystal display, unmounted, mobile device;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2c7662b0579bc74a9f53b60445ba0feb;GLO;kilogram;2610;Manufacture of electronic components and boards;47315;Monitors and projectors, principally used in an automatic data processing system;MachElecTrans;Metal/electronic equipments and parts
;market for electric arc furnace dust;electric arc furnace dust;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;63aeb13f05e2780056f80a0adedadf6c;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for copper sulfate;copper sulfate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ba33d7ba71218e2d5a1a27a1b57e1dd9;GLO;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for photovoltaic plant, 570kWp, multi-Si, on open ground;photovoltaic plant, 570kWp, multi-Si, on open ground;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;03ecd09de237302bc13eb65d0b371e6a;GLO;unit;4220;Construction of utility projects;53262;Power plants;;
;market for polyethylene, low density, granulate;polyethylene, low density, granulate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4aa51a278e08ad4760d62c0bf55d903a;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34710;Polymers of ethylene, in primary forms;PlastRub;Plastics & rubber products
;market for stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3c065fa16d429db168add7f85ea7ea91;GLO;unit;4220;Construction of utility projects;53262;Power plants;;
;market for wood preservative, water-based, outdoor use, no ground contact;wood preservative, water-based, outdoor use, no ground contact;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e0ea23ca182b7bafc7e530349ef7886e;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;345;Miscellaneous basic chemical products;Chemical;Chemical products
;market for white spirit;white spirit;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7286549def54a52605a3aed9ef6b8e4e;GLO;kilogram;1920;Manufacture of refined petroleum products;33350;White spirit and special boiling point industrial spirits;OreMinFuel;Ores, minerals & fuels
;market for used toner module, laser printer, black/white;used toner module, laser printer, black/white;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;27dbe02de7477f921917a9ceaf218a82;GLO;kilogram;2817;Manufacture of office machinery and equipment (except computers and periphe;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for heat and power co-generation unit, organic Rankine cycle, 200kW electrical;heat and power co-generation unit, organic Rankine cycle, 200kW electrical;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;af20dbb65d6aaeefc374874086d53647;GLO;unit;4220;Construction of utility projects;53262;Power plants;;
;market for hydrazine sulfate;hydrazine sulfate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;90ac1c25d24832dcdbe1d8fc959e0ed8;GLO;kilogram;2011;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for paper, newsprint;paper, newsprint;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b10c8d3b948cbca3a5b2bda0e9b6a409;RoW;kilogram;1701;Manufacture of pulp, paper and paperboard;32121;Newsprint;ProcBio;Pulp & paper
;market for filter dust from Al electrolysis;filter dust from Al electrolysis;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b1372ac6f8984a4b215fcf107ac14fb5;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for cement, CEM II/B;cement, CEM II/B;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;09b6ef57dff74f1a927dfaff2ceb94a0;World;kilogram;2394;Manufacture of cement, lime and plaster;374;Plaster, lime and cement;GlasNonMetal;Glass and other non-metallic products
;market for anode slime from electrorefining of copper, anode;anode slime from electrorefining of copper, anode;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6e7076c9b4d3775468047d1bee36d4b3;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;4;Metal products, machinery and equipment;MetalAlloy;Basic metals & alloys, their semi-finished products
